"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100"
"260" -8.19201868120691 -10.1088530554952 -3.71364122434639 -8.13966919295355 -6.68308303597021 -16.0319545391039 -14.8349202625758 -12.337244793699 -7.50234750888454 -4.22088059163623 -5.35036701850993 -7.24247125125734 -5.46052853152401 -6.84638570943543 -11.529287141869 -16.0672692905303 -6.34896676230068 -6.24241916445665 -9.35347337654513 -8.71778447333966 -11.7993535063326 -4.81547436371839 -13.4636619813346 -8.73218404916751 -6.92421571134239 -12.4522037519826 -12.7295221313495 -6.82816992682367 -8.89278404824323 -9.68183448968849 -10.1647179376338 -7.47836418523113 -10.4535472004007 -17.9955705559022 -11.9612686015751 -3.83146076588115 -5.51831423570048 -5.38805386015362 -12.2393020936905 -3.92004827807111 -9.28067910069694 -11.6324012689957 -11.9741111096948 -7.3148798070392 -8.08501348948834 -3.7161048238523 -8.23165256302925 -13.0717076717454 -9.22794666736662 -11.5926905889248 -13.5117560814799 -10.9507739831699 -6.25688247439726 -11.6699832110984 -10.8185874593016 -13.8982269863274 -7.9875223465794 -7.24871237338838 -8.64712758954842 -6.39858895960275 -7.74995132046303 -6.46510914184175 -10.0394604898471 -4.99055925721585 -4.34129783824353 -5.91089285148272 -14.6288086349976 1.83340755417319 -10.9921055570906 -12.705519991411 -1.39221777481211 -10.3505843110883 -11.1912564718256 -8.479239596097 -7.01479337943518 -10.9612474080861 -11.6773459278614 -6.61456307873336 -5.07008547367274 -15.0476932262094 -3.43938147730993 -6.99329994692488 -6.66686996707322 -9.97625235174517 -6.40545516254516 -9.19013724275173 -9.8180599350741 -12.1500995397207 -8.16738979625917 -8.19835602730117 -10.113265077958 -9.99618463376639 -10.7056746937612 -5.79422740371971 -4.94812795328359 -4.67156554929113 -15.425064925843 -10.985358869685 -1.98065512205245 -9.58584865222587
"261" -8.18737355066601 -10.1357089804371 -3.80075425981765 -7.80796651547002 -6.27301434250818 -16.0942610488888 -14.761354574039 -12.4213166921715 -7.5521760698724 -4.19172011236844 -5.37364334503792 -7.34608826210668 -5.54636125386196 -6.76135160204794 -11.6162455091358 -15.8814076370685 -6.42978489457717 -6.3416411288177 -9.46174387345533 -8.58019561563852 -11.7616372148066 -4.84490472113095 -13.5622787663082 -8.70619640555281 -6.99901655932247 -12.4372697344948 -12.6680817693491 -6.76625121876824 -8.83449450621736 -9.57681558032912 -10.1998664529392 -7.42488043992819 -10.5602419721038 -18.1051165555511 -11.7009368091813 -3.8158734443575 -5.61719254748221 -5.45459156517467 -12.2188769857742 -3.9910237095351 -9.19807645157811 -11.3928581995263 -11.9964397975949 -7.11757492940839 -8.05505764971921 -3.64296837248457 -7.9816781033605 -12.6717728119165 -9.30397079288643 -11.5453672149756 -13.1531847719889 -11.0593517996571 -6.22187478865859 -11.6762442963987 -10.8372273776967 -13.7753761072108 -8.07779368730634 -7.25063745952663 -8.64710855648701 -6.50448587844499 -7.73450736283026 -6.3282765100483 -9.98027408379885 -5.09424363724085 -4.23013362084683 -6.01555200701502 -14.5739596819076 1.8753500500848 -11.0186480559805 -12.769460257623 -1.34103580445069 -10.2290392846185 -11.181880467202 -8.51411776119515 -7.10901176967702 -10.9452889491416 -11.4959281533594 -6.34953957843307 -5.16181678433589 -15.0329744558641 -3.23295473985521 -7.04209910671925 -6.68297398063749 -10.0007639411519 -6.2361695069119 -9.21283310558292 -9.55736362009074 -11.8871838104257 -8.20133408300225 -8.08099436131302 -9.90180183879763 -9.96297329815388 -10.4279418767971 -5.66762066747237 -4.98504694881192 -4.76276076572366 -13.6461944370087 -10.4057529928591 -2.06925977875898 -9.25414640897102
"262" -7.93406178752232 -10.259359311647 -3.94860797198904 -7.45377934342235 -5.98927948950838 -16.2677586862023 -13.7995347850703 -12.7022663042582 -7.95851972603381 -4.48622527802791 -5.27351118669186 -7.18720338239986 -5.60114917846646 -6.8120842368961 -11.9786833952015 -15.3407142495494 -6.16582647240211 -6.50653091185049 -9.05462946370299 -8.49255890615892 -11.5162789908797 -4.74522165135984 -13.3523834172689 -8.89252618071201 -7.0656638975118 -12.1583736584224 -12.7949374181031 -6.6320744727254 -8.65337937721764 -9.59999025481941 -10.2243978756482 -7.51820200406339 -10.6685650096976 -17.8012303783805 -11.7254499255188 -3.61922465218885 -5.50144371111074 -5.23794307910785 -11.4855428126894 -3.78165083840629 -9.00074524068877 -11.5920716485397 -12.3025908447448 -6.42811017630853 -7.95709897589763 -3.87483390091918 -7.83082841380283 -12.9536863646014 -9.68281580603461 -11.5550936000453 -12.9283568603215 -11.1210417924087 -6.43912171391385 -12.0453848195424 -11.05343849242 -13.8350106199679 -8.33938368201164 -7.48972661936089 -8.9791809000596 -6.51041985210967 -7.68771460944582 -6.64126648053187 -9.46062900794997 -5.21161864186848 -4.04787828172311 -6.31023058970448 -14.7881491684169 1.7787006153279 -10.8386986756768 -12.9412247291579 -0.749333378103212 -9.01476835234651 -11.3586516803875 -8.53910469935537 -7.21580076319905 -10.9250026444031 -11.3209013849885 -6.13828766509434 -5.47924545666327 -14.3144106588658 -3.55534452157658 -6.85541468446615 -6.94022903548257 -9.05098560765687 -6.26713871219491 -9.38191242096222 -9.63755070495889 -11.9575859522034 -7.95379507677056 -8.01133558066314 -9.57985779709147 -9.57524203277584 -10.5783556933623 -5.06096126646183 -5.13114980001057 -5.07777143697612 -13.0918158452473 -10.4242908011644 -2.23504035759305 -9.30303846831439
"263" -7.70780873387422 -10.2587112365618 -3.938494376559 -7.44910802681364 -5.99160128399334 -16.2024311423781 -13.7973237866141 -12.664054231987 -7.86845503205018 -4.488501410798 -5.10897247804951 -7.18403126204454 -5.56264615162407 -6.81398455746678 -11.9768411248164 -15.3380137861517 -6.16204297537921 -6.48004885893854 -8.89408259562914 -8.48311546994842 -11.4374517108816 -4.65007341231327 -13.34812554618 -8.8895689258419 -7.06815648649315 -12.0289621003971 -12.7805048296164 -6.62467153032065 -8.64031817059761 -9.4210684036403 -10.2101978210242 -7.51039739622392 -10.653935022615 -17.7493968801923 -11.6770881157544 -3.59022971595395 -5.50082105315204 -5.22280454303756 -11.3360303544298 -3.43323652264023 -8.91112108655141 -11.593692389993 -12.2906672095239 -6.42809452248116 -7.84712487176416 -3.86996732282763 -7.46113983427517 -12.9563129674679 -9.67650954370976 -11.5117822378945 -12.5422989120754 -11.0945406065336 -6.44133442607946 -12.0478877195755 -11.0559962925541 -13.8125034633647 -8.33242766103801 -7.39902133037726 -8.89958920891461 -6.50515384005563 -7.68202374687028 -6.6346785479577 -9.46163199598367 -5.14938534717004 -4.02883570036081 -6.30085014687505 -14.7399821844468 1.80981417031097 -10.8109202515725 -12.9324149789169 -0.750766857789475 -8.72284381433806 -11.339749643297 -8.53719351129503 -7.21830063416939 -10.9269346481162 -11.3112581909306 -6.07716549294655 -5.47998020578764 -14.3130025272517 -3.51700168601137 -6.71407914888793 -6.90500523117323 -8.86005615253076 -6.2526606332141 -9.21608877986784 -9.62266962609033 -11.9338672403411 -7.95386372672446 -7.99158941488689 -9.58169872555317 -9.54835794194744 -10.4376080044403 -4.67132212645553 -5.13342537949926 -5.07644256655495 -13.0910749718956 -10.3827330768557 -2.22899439343296 -9.008929211728
"264" -7.80844695673875 -10.4014383783415 -4.26754666286961 -7.48789494035795 -6.22677356563341 -15.9927275718037 -13.6060343546564 -12.3339208591312 -8.05586479829972 -4.52098639380905 -5.00535943345615 -6.91215796311615 -5.48647633108454 -6.85499895302599 -12.4750961486726 -15.5909617168658 -6.31045105180241 -6.1472881883724 -9.26964084915933 -8.66249180178844 -11.5531975584021 -4.98868311379812 -12.7311492482367 -8.81637568469269 -5.91611910607446 -12.0230659445922 -12.8736076600353 -6.66717440830986 -8.83055932089802 -9.7286673706708 -10.5351047594869 -7.14172650709632 -11.0700645275204 -17.7569705351339 -12.0778604117261 -2.9504904576821 -5.68225241366818 -5.49213641186492 -11.4456526989242 -2.93548093577627 -8.70409040049509 -11.6221492689897 -11.4770737398382 -6.61411124945832 -8.04587243400141 -4.08962519579312 -7.16525398653931 -13.3621149505726 -9.04626297961779 -11.3898362064015 -12.5385629874045 -10.2318932727265 -6.9585233423836 -12.2901242086829 -10.9309862698586 -13.4381343781774 -8.47909063921832 -7.89474507612644 -8.77157981145427 -6.62522846524611 -7.18697363241998 -6.90346323134616 -9.7289574892748 -5.41922849293943 -4.22158499693295 -6.27272450752641 -14.8771529640324 1.61905483557605 -10.1002729403199 -13.0139339724308 -0.648385875768365 -8.28443831868975 -11.4956542807241 -8.5429265250935 -7.51146254249757 -10.3391256531444 -11.0508951784369 -6.3153348951438 -5.59377731655595 -14.6812176828874 -3.44184680637849 -7.0951227522791 -7.06744680347282 -9.16000619482102 -6.73989448377434 -8.49983804063499 -9.62357201039852 -12.1022050939504 -8.04143521636571 -8.13134560534461 -9.96339660188834 -9.24325810380724 -10.3385880712234 -5.00803113532171 -5.4568595921457 -4.74899572300209 -12.7404267288022 -10.4028998754241 -2.56584304913794 -8.31999989310816
"265" -7.84108082656261 -10.2681323062911 -4.37543129669893 -7.45362625648638 -5.48122505881317 -15.9846789828696 -13.6035207170357 -12.3853097008872 -8.05508373154229 -4.19013009534794 -4.99080878011298 -6.88164063427892 -5.33979007136758 -6.85829472244071 -12.5127123842268 -15.1653526609003 -6.26775285565007 -6.18937425256139 -8.99731448242704 -8.7314583156979 -11.5865657815957 -4.9771343138199 -12.8475015996926 -8.86616149919055 -6.02714972438982 -11.6179582555375 -12.9221729370683 -6.60021591521318 -8.92657944106547 -9.62510162248142 -10.0112418695001 -6.96144450916882 -10.7780280532486 -17.6949321113391 -12.1437324968662 -2.99836805693514 -5.75974238662511 -5.32593644705086 -11.3907703527766 -2.92286797527734 -8.67438687545974 -11.4164178633019 -11.0787130779888 -6.69230581581193 -8.15754996315092 -4.09697833525444 -7.26061850959212 -13.0157800322882 -9.03999019427417 -11.5049164949895 -12.3526697629122 -10.3475839238543 -6.87845282938548 -12.3993330173769 -10.9362802413158 -13.5460023892997 -8.21882530406353 -8.00536524860134 -8.87183355974501 -6.67872540505179 -7.14547285637233 -6.58758297123179 -9.36829813108659 -5.52633043841617 -4.31871677751867 -6.22128648930256 -14.9254771909389 1.55518027862076 -10.182928698967 -13.035088537743 -0.712258505611274 -8.35759954587449 -11.5131177902448 -8.39908589519529 -7.52397534759124 -10.275523304303 -10.6266147507522 -6.32820180641651 -5.70223733831878 -14.7213119364807 -3.45920197186094 -6.98854504847228 -6.69137191242348 -8.79279052536217 -6.61911973102836 -8.42893578600514 -9.73863693444972 -12.1636731878572 -7.89712508184699 -8.21210231159646 -10.0750849277575 -9.30633441570878 -10.2200771510024 -4.98019944479655 -5.56689356687969 -4.85737799349335 -12.818477436441 -10.2593885953903 -2.24591222545889 -8.34159419412195
"266" -7.64147166372879 -10.4612368803655 -4.33393661575168 -7.55974276855407 -5.74003085751971 -16.069046349154 -13.5317577376874 -12.0806267718705 -7.56088062336391 -3.7955866137517 -4.87964149782831 -7.05395273640153 -5.36164963050847 -6.52600080313677 -12.5624975125921 -15.3702417333545 -5.84578346652567 -6.37278311825482 -8.99284466049575 -8.8905135010837 -11.533485045506 -5.1673597851706 -13.1062898760498 -9.12539408162516 -6.03363029224733 -11.6680854914351 -13.1932955354317 -6.56827826201238 -8.71245977535464 -9.57937861834122 -10.1618445371739 -6.96302176187833 -10.500813154029 -18.088147666716 -12.5213208459804 -3.0468010370561 -6.01166049810336 -5.40475000023481 -10.7519147768455 -3.04102290493664 -8.80710021600191 -11.6461463052275 -11.4042044232213 -6.12714770357061 -7.87938273011133 -3.82168003418888 -7.27959078900662 -13.0909533149637 -9.26798963901434 -11.4912097851678 -12.2993288904152 -10.1463223119303 -6.67772764910424 -12.7525106685796 -10.8948040740309 -13.5360113057631 -8.42181011012075 -7.7545085348435 -8.21981231278435 -6.88461001243272 -7.27776703218777 -6.38476127004626 -9.65439888694051 -4.98350109305479 -4.06186245768787 -6.1252949243503 -14.9484996462315 1.56341915355919 -10.2997234333765 -12.9892035784966 -0.499245050938613 -8.3709016756006 -11.5136230747739 -8.09339211142255 -7.85015839769554 -10.3845009407254 -9.70847688318957 -6.09271998585268 -5.38499685469338 -15.0674198217095 -3.58594510264998 -7.01260825061141 -6.7829225173561 -9.04809864422877 -6.48430851733295 -8.69756325698592 -9.44428627424723 -12.0295955546442 -8.14439263930173 -8.3757857087597 -10.3285923679497 -9.69792240366527 -10.1792005684926 -5.28679284221425 -5.89001661822328 -4.82992465447074 -13.0095417616668 -10.2286599643479 -2.41514594813592 -8.3477683651668
"267" -7.59883635405036 -10.3380250956267 -4.26938145356963 -7.5755032453874 -5.68019491252936 -15.9573441021917 -13.5093372335166 -12.0519305031132 -7.56499426510171 -3.81653550887939 -4.89689870207413 -7.03101513141782 -5.34441737853144 -6.49588001489316 -12.5750008391173 -15.3923769583643 -5.81523167594586 -6.38674546168396 -8.80767413302657 -8.6209148350145 -11.3792659832978 -5.18238872774039 -13.0984209922456 -9.01488289990278 -6.03026361972105 -11.6172822929891 -13.215991763626 -6.58986980857592 -8.6650831840253 -9.54673215982402 -10.1381557455016 -6.97705636835713 -10.5165446279963 -18.0995131342601 -12.5168735948488 -3.03448289159445 -6.00831772058374 -5.41592998308296 -10.7738285045436 -3.06136298299666 -8.82640100974801 -11.5768441632463 -11.3871370048745 -6.14421882964031 -7.79656362332433 -3.59402816276948 -7.29903932708889 -13.0966972556377 -9.23885587190014 -11.4564307691517 -12.3191487257944 -10.0415030654837 -6.47219859753072 -12.7616551819292 -10.8563806904811 -13.4951549694253 -8.12414326271571 -7.77632827380379 -8.23960800816939 -6.79238352986282 -7.29700464161684 -6.40602619835615 -9.67643165157823 -5.00119307615681 -3.8863953932029 -6.12976283532787 -14.945973672687 1.55236533282814 -10.2682327028276 -12.9270462412222 -0.516427453277268 -8.38753147197693 -11.5307686433935 -8.11526187791724 -7.78932995294752 -10.339151029579 -9.72039278274566 -6.10103111880103 -5.40325854174326 -15.0321465447362 -3.56623316790561 -7.02388353657726 -6.79395607491637 -8.68363607815732 -6.42575486100236 -8.71188050034655 -9.29954911284529 -12.036653782933 -8.16597899972527 -8.16565537414957 -10.3405562797618 -9.52310866079824 -10.1474199961521 -5.18898057216775 -5.89930499731324 -4.83974061057519 -13.0242262860939 -10.0635502660936 -2.34481273627964 -8.36417087390171
"268" -7.91579609922464 -10.4788045703405 -4.25053904654684 -7.61802668459146 -6.0994749112864 -16.0098336876767 -13.9999752694366 -12.0944824876412 -7.49765714173147 -4.01916016065673 -5.28072129964967 -6.88879985385313 -5.46720672096974 -6.74111079391955 -12.5670081683218 -15.9524195827612 -5.53850777809093 -6.55801233506921 -9.02770276875364 -8.64221920929698 -11.4515665179531 -5.1418908734465 -13.1650391082744 -9.36489322365035 -6.23678290303835 -11.8101564099621 -13.1965605835352 -6.5533744851022 -8.21764788741561 -9.42196907619601 -10.2823092903167 -7.06136802998469 -10.6906935445275 -18.2831997796646 -12.5030820161263 -3.27348397142058 -4.99268191370632 -5.24167919951595 -10.8341292512168 -3.11769256498211 -7.71546672526486 -11.554638327842 -11.4684684906357 -6.73698652933388 -8.20300230078685 -3.90410253029945 -7.58255889067487 -12.711237679408 -9.78073624354707 -11.9658969593847 -11.6956362152142 -10.5299826014475 -6.82576301851894 -13.2941374654905 -11.179048225021 -13.9987245430932 -8.59556186554755 -8.06790358017915 -8.30072970516282 -6.10750901701465 -7.65988100315551 -6.46315722290531 -9.96645839646999 -5.2996523133477 -4.10510017048751 -6.31712989655544 -15.1889273025435 1.27341194913009 -10.2336366012236 -12.9463864201523 -0.935386402765737 -8.66077466235562 -11.4452904540697 -8.03171536071932 -7.95997787336535 -10.2158376044002 -9.60729553204443 -6.1876469972354 -5.56315244767727 -15.6729759579628 -3.27009884132883 -6.32843915024017 -6.98526700256923 -8.92425656043563 -6.93117040768119 -9.24923870398975 -9.39723832734698 -11.6430720371026 -8.42446352385169 -7.53556442271599 -10.4348161336112 -9.92030219796898 -9.96264302034824 -5.12503429465077 -6.38691676602403 -5.3958034191713 -12.6557982061484 -10.0308953853036 -2.56826567604811 -8.77107017755872
"269" -7.78288077955602 -10.5804912761926 -4.46700305557777 -7.85002174382887 -6.01073239404748 -16.1619679307925 -13.1034633733012 -12.0429366443818 -7.58179811559774 -4.23564238431873 -5.27779692631478 -6.57287066476764 -5.64187157108864 -6.76723410254259 -12.5698562885515 -15.6594756496326 -5.57250046138975 -6.19332267973909 -9.1215519460222 -8.40123506056998 -11.4796317232529 -5.02896993953714 -13.048649667216 -9.50978256821262 -6.3239555115991 -11.0555642506317 -13.1722045492533 -5.86781342604394 -7.75827161886704 -9.45552129811482 -10.4470668221046 -7.22808337581908 -10.673768257551 -18.3604036842658 -12.3460238215696 -2.69802768152754 -5.16994300048206 -4.87286950782186 -11.0051172624381 -3.07405696848775 -7.53087124257219 -11.5007868465611 -11.0212401688734 -6.63804007140993 -7.78107819097926 -3.5794398288554 -7.13052198457058 -12.5401476538218 -9.56169339013693 -11.780663614764 -11.8716315357506 -10.5524739527669 -6.75054036312659 -13.3806678986953 -10.7739047335365 -14.2244999520586 -8.63918941374087 -8.22445471200412 -8.04058672449786 -6.22588595875784 -7.83729567814322 -5.93380778160446 -10.1997123999272 -5.49446776960165 -3.19969039619079 -6.07649342649834 -15.3577425003267 1.4528559423595 -10.3684518246181 -12.4816706270604 -1.13234589973221 -8.65796940746075 -11.4029373689088 -7.9611446757788 -8.05596819105732 -10.2427984070455 -9.46876895934263 -6.19525013433773 -5.79934711497117 -15.9070303545273 -3.46853099243947 -6.25550078278276 -7.00107896972815 -8.73583880050566 -6.87767682336449 -9.17688338251299 -9.33000230163874 -11.7531137440269 -8.32835148497295 -7.41687809037508 -10.2373936875196 -9.72342581428132 -9.89460909666218 -5.19264156278785 -5.95634337039341 -4.64733961996648 -12.5797644067468 -9.75421044124383 -2.42072402617435 -8.84847882891478
"270" -7.50578937614261 -10.530458224921 -4.73759677938981 -7.95678566709639 -5.70983870383615 -15.9770044941571 -13.6800588247185 -11.121038761831 -7.15207865516838 -4.61400074300129 -5.08394251639122 -6.09689036864329 -5.38167264387972 -7.26601841013408 -12.9019105690218 -15.5836141308099 -5.16158326345977 -5.86816209743322 -9.29234926512295 -8.5244749189096 -11.5774400105729 -5.12297839013856 -12.7937251458282 -9.45024462028503 -6.70786110436039 -11.6018286486132 -12.9348135044442 -5.4112202369327 -7.57413033754997 -9.73804680511239 -10.7050616261985 -7.69980984151206 -10.0154700067795 -17.8066286703363 -12.657573347494 -2.288793525328 -5.10975351562168 -5.00733163719052 -11.3138290134053 -2.89130620740052 -7.0104404179681 -11.6297087410086 -11.5109056069313 -6.77855212891469 -8.18831892150966 -2.41410814400356 -7.15874111840413 -12.2539071943045 -8.58536197783835 -11.6113322763191 -12.3124907232079 -10.7171695046938 -7.0502846000589 -13.7378719365379 -11.080738930355 -14.3601622640351 -8.31151794760727 -8.86649533689075 -8.32575607390782 -5.33372438970658 -7.7609328982619 -6.22418133919311 -10.7216511442519 -5.22991668543267 -2.86298919843317 -6.24768475779454 -15.7657655869572 1.65655050031926 -10.0412303956582 -12.2165581714065 -0.854977176719429 -8.99826567602684 -11.3099437664733 -7.16654197034332 -7.83987403123676 -10.6907953120101 -9.91376549876597 -6.12043810653282 -6.15543441259612 -15.548466797749 -2.74922783629961 -6.28552501096782 -6.93367700689289 -7.8179279491122 -7.11072850623478 -9.74272083438505 -9.43975793273761 -11.9067625837628 -7.86059192315876 -7.20419141009503 -10.4871637688098 -9.41598260326935 -9.46752437698246 -5.49577396109286 -6.4287791044529 -4.20971865846766 -13.2504045239891 -9.78866003803125 -2.18335950180117 -8.7459658941567
"271" -7.54803987370212 -10.4822337737228 -4.50949665804155 -7.92234491628423 -5.75841430891866 -16.1331255031019 -13.7226758624023 -11.3108158758223 -7.40440512541796 -4.72573633904785 -5.29308173704293 -6.041282075128 -5.26198098087072 -7.27533696160323 -12.6223638799114 -15.7241464067362 -5.0343497034361 -5.97818681379603 -9.42561376630826 -8.42314054527291 -11.5343407653571 -4.83795426611813 -12.6901156650898 -9.42924756169257 -6.88478557140519 -11.6128185062925 -13.1218101927366 -5.35193619267658 -7.80940888970645 -9.58513371329981 -10.9755702095054 -7.93276105429048 -10.1281872525623 -18.0400482776612 -12.7982475130385 -2.27796016835411 -5.32012137934821 -5.16579836169113 -11.4728520705651 -2.81899911322256 -7.10574347614694 -11.8864219526109 -10.9218419637727 -6.74838288116935 -8.35025768858411 -2.26225036244747 -7.11055225438764 -12.4555995222873 -8.75015304482627 -11.8499056418772 -12.3864330994496 -10.7189904468862 -6.80964701268187 -13.5323518937776 -11.0266051635451 -14.1814275714508 -8.12644162148537 -8.19476490432738 -8.19988277623025 -5.45245811458168 -7.49776096742618 -6.31872964481177 -10.9946583074523 -5.40556186452128 -2.74302270598015 -6.36229862790569 -15.4399570532456 1.98345000527633 -9.95154755699457 -12.3437629823744 -0.629582167000842 -9.15029711601854 -11.4473299840205 -7.14738570377351 -8.06217058534546 -10.8105500161925 -9.62870515089129 -6.13664173330619 -6.09432790477777 -15.650584711519 -2.66074648537913 -5.96725374878597 -6.84693111240759 -7.98389047427623 -7.35915826326843 -9.63343186186316 -9.43237952946387 -12.0184189913374 -7.77637635325594 -7.43278502981679 -10.5254921218727 -9.02239728532153 -9.25746105433665 -5.62277182352411 -5.62111910936105 -4.24581175600931 -13.1927572558743 -9.92748377793355 -2.2802490013436 -8.81104334298046
"272" -7.45028084203068 -9.90606286692102 -4.63656857212715 -7.62697472614735 -6.02563267707874 -15.0849206919367 -13.8465172322132 -11.5719351104707 -7.60638289833322 -4.95030781215509 -4.89835936810006 -4.65149087906089 -5.20021412753473 -6.67617781614718 -13.0420641378262 -15.6454369209289 -5.31837243877435 -6.05549365342808 -9.41114577271596 -8.21881952025467 -11.4600801091229 -4.98864001969357 -13.0494778786726 -9.37002708964136 -6.86797130201013 -12.2878916225243 -13.6172851745309 -5.28273708359368 -8.26390412485474 -9.53806198612734 -11.258851174288 -7.95554029871428 -10.7047230089773 -17.3767925077121 -12.6526746493868 -2.46056014164668 -5.13332242885116 -4.15261218163754 -10.5766671184451 -3.19673877104047 -7.12710848304048 -12.1293801085217 -10.9312168710352 -6.91945179682667 -7.94812223252044 -2.22318440141474 -7.81482441536716 -12.954521251542 -8.02143348406352 -12.52652012727 -12.2513603110464 -11.2526522111063 -6.98923118389279 -13.3026003735635 -11.3915083776506 -14.4841821155447 -7.91393853165501 -8.01525409055985 -8.4458806566323 -5.11779797311187 -8.09710302867646 -6.44872745356844 -11.5646210405115 -5.7380571299942 -2.77411130472731 -6.70054954379038 -15.2030654925213 2.03209523379332 -10.2624091260265 -11.6961491608017 -1.02486271136866 -8.75635469868412 -11.5929403068064 -6.55877765168766 -8.0780108770867 -11.3415750937162 -9.09218694031761 -5.94855809270247 -6.05695562459141 -16.0937922053035 -2.915291826646 -6.05091516607297 -6.33026454453653 -8.03235886716063 -7.10308786248068 -9.52111947585801 -9.21074936742241 -12.0302157130611 -7.7238656527318 -7.85101755359481 -10.6278448964676 -9.44416261876626 -8.74262621880755 -5.85600649395372 -5.45993435863024 -3.73333991648921 -13.5142344016356 -10.5624465715597 -2.39948455048611 -8.30660901547333
"273" -6.86842609703016 -9.73882597835667 -4.82879655930142 -7.08204442579623 -5.76531785529399 -15.1795319291378 -14.0287974936103 -11.8393047904063 -7.78692111411807 -4.5973947699657 -5.14702320233054 -4.88862636347467 -5.46496963339715 -6.84916227505912 -13.0852774742307 -15.7838170405762 -5.65092438159036 -6.12254030882202 -9.45026462718703 -8.05233621765287 -11.4301547507262 -4.77020888622934 -13.4235324299819 -9.73583883657316 -6.55619119228334 -12.1732300891549 -13.5567235329958 -5.22455084605391 -8.47919956880165 -10.0010301861003 -11.5341593893831 -7.79143451074025 -9.85337974719176 -17.9318191009 -12.6105397195334 -2.26625629009858 -5.55126481313526 -3.82116332928735 -10.315215942596 -3.18248321335335 -7.33006609400026 -12.1925721516535 -10.8417247323517 -7.33681752981235 -7.93559054620063 -2.20875121356852 -7.71093803161904 -13.3063642482266 -8.11218419295705 -12.5095261565081 -12.4421729263376 -10.7045008604528 -7.12501827270795 -13.3667957426328 -10.9905609185398 -14.3032606103388 -7.68951994105391 -7.98094883937246 -8.66920904083255 -5.06216346865211 -7.5601214339539 -6.68854720515257 -11.9234923560676 -5.69702280891877 -2.3858343456693 -6.43016217560524 -15.7149187176691 2.08587729139232 -10.7271671834804 -11.8778875391853 -1.31847663068327 -8.95744634679279 -11.4952688939743 -6.86094480904074 -8.11816282771129 -10.9056834701976 -9.30733890083604 -6.27469137674737 -6.1104823581744 -15.959882609121 -2.51539894289672 -5.69350487295188 -6.40481935431971 -8.15696906752028 -6.79397209332084 -9.60283119029743 -9.56470106262584 -11.7748074388598 -7.895348774441 -7.60788625892581 -10.8473824153602 -9.11987398233105 -8.90564210927625 -5.55122373207444 -5.82695116917153 -4.03901615561912 -13.7788467814437 -10.9791224394837 -1.9913866230143 -8.16044168467485
"274" -6.90464261214854 -9.78056028703744 -4.22814062844914 -7.41643110724364 -5.94080932751162 -15.0473386559466 -14.0486698450538 -11.9304536658121 -7.98184191994025 -4.80541257667573 -5.2405970372321 -5.058071875915 -5.56641620784133 -6.86831513387036 -13.4889514395595 -15.3935007434475 -5.35848939289998 -6.36364802796143 -9.07016915073047 -7.92986297442508 -11.4260206097206 -4.6241648621921 -13.7464925195191 -9.74659322460731 -6.75763884146325 -12.6564141068779 -13.6218539657267 -5.43203924540934 -8.41166728965572 -9.92564124207023 -11.5763747437143 -7.58952599593854 -10.1729401438871 -17.8070769420685 -12.9202526718882 -2.47670373014932 -5.66756500790502 -4.05033280625255 -10.1340576879261 -2.73788752438444 -7.25862159078525 -11.4511439599794 -10.7660737192528 -7.61300898829791 -8.13377584148898 -2.21904504334707 -7.37434167402027 -12.9435935390618 -7.5808426677737 -12.2566774217697 -12.5332581548838 -10.6067085997799 -7.47790446657395 -13.3777212758576 -10.5265445507447 -14.1240211316975 -7.65994343965777 -7.74527264179148 -8.12542962146334 -5.32635223837481 -7.83957986638111 -6.59102784749812 -11.160124176717 -5.18897306476771 -2.33276703633065 -6.58798776472855 -15.7183973840284 1.94573880771286 -10.6934606933418 -11.9333999154344 -1.08664899035986 -9.22099108076677 -11.8962811090774 -6.57899306468885 -8.01271608830101 -11.2860305006693 -9.10696968580158 -5.74293164197175 -5.90226546866284 -15.6943657645403 -2.60874220374394 -5.76029090562338 -6.30224040493479 -8.41199289885772 -6.92095759279461 -10.00047953881 -9.4232700149786 -11.5338377402751 -7.79772152907319 -7.64923179565009 -10.8806357158483 -8.35369124839855 -9.12940821120372 -5.76745535168872 -5.74107564989992 -4.07013014710862 -13.641899530045 -10.935314781042 -1.91793924920647 -7.72001400323417
